11  | IMAGEM      | TV 32 aiwa aws-tv-32                         | 012512 - 012490 - 012610 - 012514 - 012746 - 012608 - 012609 - 012611 - 012506 - 012505 - 012510
2   | IMAGEM      | TV 32 aoc 32s5195                            | 019521 - 019523
2   | IMAGEM      | TV 32 philco ptv32d                          | 019524 - 019525
3   | IMAGEM      | TV 32 philips 32pfl58                        | 010812 - 010810 - 010804
1   | IMAGEM      | TV 32 philips 32pfl50                        | 019520
30  | IMAGEM      | TV 43 samsung un43au                         | 019990 - 019571 - 019575 - 019937 - 019973 - 019573 - 019569 - 019943 - 019994 - 019568 - 019991 - 019939 - 019574 - 019572 - 019941 - 019570 - 019975 - 019992 - 019576 - 019567 - 019976 - 019996 - 019938 - 019989 - 019995 - 019947 - 019944 - 019871 - 019566 - 019942
6   | IMAGEM      | TV 43 lg lh5700                              | 016381 - 016377 - 016392 - 016403 - 016378 - 016389
6   | IMAGEM      | TV 43 lg lb425500                            | 015939 - 015967 - 015966 - 015938 - 015965 - 015937
7   | IMAGEM      | TV 55 philco ph55a                           | 018323 - 018936 - 019503 - 019502 - 018328 - 018332 - 018326
9   | IMAGEM      | TV 55 lg 55uq80                              | 019792 - 019986 - 019987 - 019870 - 019868 - 019865 - 019988 - 019550 - 019504
94  | IMAGEM      | HDMI curto                                   | 012158 - 001857 - 001889 - 012230 - 001315 - 001403 - 001803 - 001847 - 001314 - 012167 - 001863 - 001833 - 012166 - 001846 - 001215 - 001811 - 001706 - 001860 - 000735 - 001836 - 000734 - 001703 - 012162 - 001810 - 001447 - 001454 - 001854 - 001858 - 001197 - 001849 - 001405 - 001886 - 012231 - 001310 - 012163 - 012664 - 012735 - 012221 - 012223 - 012222 - 012159 - 001890 - 012232 - 001187 - 001853 - 001805 - 001878 - 001720 - 001842 - 001313 - 012650 - 012651 - 012681 - 012682 - 012670 - 012657 - 012659 - 012658 - 012652 - 012683 - 012668 - 001455 - 012219 - 001401 - 001880 - 001813 - 001879 - 001827 - 001826 - 012228 - 012164 - 001823 - 001701 - 001887 - 001812 - 012220 - 001709 - 012821 - 001896 - 001838 - 001824 - 001852 - 001825 - 001861 - 012227 - 001862 - 012854 - 001834 - 001837 - 012892 - 012217 - 001856 - 013099 - 013100
2   | IMAGEM      | CONTROLE TV philco                           | 018317 - 018495
12  | IMAGEM      | CONTROLE TV aiwa 32                          | 012593 - 012511 - 012513 - 012491 - 012504 - 012509 - 012589 - 012592 - 012591 - 012590 - 012507 - 012515
11  | IMAGEM      | CONTROLE TV LG                               | 012104 - 012084 - 012097 - 012086 - 012085 - 012100 - 017218 - 012096 - 015948 - 012099 - 012747
8   | IMAGEM      | CONTROLE TV lg mouse                         | 019813 - 019855 - 019815 - 019861 - 019853 - 019814 - 019854 - 019811
3   | IMAGEM      | CONTROLE TV samsung 82                       | 012031 - 018265 - 019806
20  | IMAGEM      | CONTROLE TV samsung                          | 019820 - 019827 - 019857 - 019819 - 019822 - 019817 - 019818 - 019805 - 019860 - 012184 - 019807 - 019856 - 012185 - 019809 - 019828 - 012182 - 019808 - 019823 - 019825 - 019810
2   | IMAGEM      | CONTROLE TV ROKU                             | 012048 - 012748
21  | IMAGEM      | CONTROLE PROJETOR epson                      | 018236 - 017716 - 012768 - 019596 - 012749 - 017710 - 017713 - 015754 - 019599 - 019597 - 019595 - 019600 - 012752 - 019598 - 012135 - 012138 - 012139 - 012134 - 012133 - 012140 - 015755
1   | IMAGEM      | CONTROLE TV philips                          | 019162
1   | IMAGEM      | CONTROLE TV philips 32                       | 010809
9   | IMAGEM      | CONTROLE PROJETOR benq                       | 017765 - 018790 - 017697 - 017696 - 017770 - 017759 - 017744 - 012754 - 018792
5   | IMAGEM      | CONTROLE PROJETOR panasonic DZ_RZ            | 018680 - 015538 - 017998 - 015532 - 017997
6   | IMAGEM      | LENTE STANDARD DZ_RZ                         | 017996 - 018679 - 019165 - 018000 - 017999 - 019166
2   | IMAGEM      | LENTE SHORT RZ_DZ                            | 018468 - 018466
2   | IMAGEM      | TAMPA LENTE SHORT DZ_RZ frente               | 018465 - 018467
2   | IMAGEM      | TAMPA LENTE SHORT DZ_RZ fundo                | 018464 - 018469
4   | IMAGEM      | MOLDURA PROJETOR DZ_RZ                       | 012755 - 012753 - 012751 - 012720
4   | IMAGEM      | PROJETOR PANASONIC RZ                        | 018682 - 017975 - 017973 - 017974
2   | IMAGEM      | PROJETOR PANASONIC DZ                        | 015537 - 015536
3   | IMAGEM      | SUPORTE PROJETOR TETO DZ_RZ                  | 017987 - 017986 - 012750
33  | AUDIO       | PRX ONE SUB                                  | 014830 - 012197 - 014822 - 012077 - 019899 - 014827 - 019892 - 012038 - 019673 - 019683 - 012193 - 019877 - 012054 - 019889 - 019878 - 012047 - 012044 - 012053 - 012075 - 012194 - 012187 - 019874 - 012039 - 019891 - 019890 - 019888 - 012196 - 019676 - 012192 - 019678 - 019875 - 019885 - 012190
33  | AUDIO       | PRX ONE ALTA A                               | 012045 - 014826 - 019895 - 019893 - 012188 - 012181 - 012072 - 019905 - 019680 - 019880 - 014824 - 014831 - 019876 - 012056 - 019884 - 019898 - 019677 - 012051 - 012043 - 019900 - 019663 - 012041 - 014829 - 019902 - 012076 - 012203 - 019887 - 012059 - 012198 - 019662 - 019879 - 012156 - 019681
33  | AUDIO       | PRX ONE ALTA B                               | 012046 - 014825 - 019903 - 019904 - 012189 - 012201 - 014823 - 012074 - 019901 - 019682 - 019881 - 019883 - 012055 - 019873 - 012191 - 019897 - 019674 - 012052 - 012042 - 019912 - 019664 - 012040 - 014828 - 012073 - 019894 - 012202 - 019886 - 012057 - 012199 - 019661 - 019882 - 012180 - 019684
25  | AUDIO       | FZ 108 ativa                                 | 016875 - 016892 - 015244 - 015297 - 010572 - 015296 - 012310 - 015295 - 010855 - 010866 - 010573 - 010568 - 010569 - 018770 - 015288 - 012303 - 015245 - 012280 - 012279 - 015298 - 015300 - 012307 - 012309 - 010570 - 010571
22  | AUDIO       | FZ 108 passiva                               | 015278 - 015277 - 012123 - 012131 - 012102 - 012110 - 012128 - 012142 - 019672 - 012141 - 012025 - 012105 - 012111 - 012721 - 015272 - 015274 - 015276 - 012024 - 015271 - 015273 - 012296 - 012853
39  | IMAGEM      | HDMI 40mts                                   | 001493 - 012766 - 001475 - 001497 - 001477 - 001424 - 001476 - 001495 - 001412 - 012234 - 001498 - 012237 - 001459 - 012236 - 001486 - 001425 - 001496 - 001474 - 001494 - 001462 - 001487 - 001463 - 001488 - 012742 - 001443 - 012767 - 001489 - 001411 - 001491 - 001483 - 012740 - 001434 - 001461 - 001345 - 001435 - 001442 - 012233 - 001490 - 001413
12  | IMAGEM      | HDMI 20mts                                   | 001482 - 012739 - 001492 - 001432 - 012765 - 001431 - 001423 - 001441 - 001433 - 012708 - 012762 - 001445
86  | IMAGEM      | HDMI medio                                   | 001730 - 001743 - 012718 - 012713 - 012710 - 012656 - 012687 - 012698 - 012669 - 012654 - 012647 - 001735 - 012655 - 012299 - 012665 - 012662 - 012661 - 012776 - 012774 - 012699 - 012646 - 001727 - 012701 - 012660 - 012715 - 012712 - 001530 - 012695 - 001520 - 012685 - 012700 - 012709 - 012711 - 012689 - 001526 - 001536 - 001516 - 001885 - 012270 - 001881 - 012272 - 001537 - 012719 - 001509 - 012714 - 012692 - 012686 - 001875 - 001528 - 012298 - 001038 - 001515 - 012239 - 001115 - 012770 - 012773 - 012771 - 012737 - 012667 - 012769 - 012761 - 012760 - 012756 - 012775 - 012759 - 012757 - 012763 - 012772 - 012764 - 012777 - 012778 - 012779 - 012696 - 001352 - 001188 - 001734 - 012663 - 012671 - 012706 - 012705 - 001895 - 001872 - 012271 - 001510 - 001874 - 001728
5   | IMAGEM      | HDMI 30mts                                   | 012691 - 012666 - 012716 - 012717 - 001422
60  | AUDIO       | PLACA USB UCA202                             | 012035 - 019798 - 019733 - 019949 - 012644 - 012641 - 019427 - 019723 - 019736 - 019726 - 012034 - 012029 - 019724 - 012640 - 019734 - 012033 - 019727 - 012037 - 019721 - 019553 - 012050 - 019738 - 012300 - 019722 - 012082 - 012643 - 012645 - 012174 - 012642 - 019725 - 019926 - 019731 - 019428 - 019936 - 012026 - 012288 - 012036 - 012132 - 012114 - 012304 - 019217 - 019730 - 012030 - 019737 - 012027 - 012028 - 012815 - 012822 - 012813 - 012806 - 012805 - 012811 - 012804 - 012809 - 012049 - 012807 - 012812 - 012814 - 012808 - 012810
37  | IMAGEM      | DISTRIBUIDOR HDMI 4K fx-hsp0104d             | 019765 - 019836 - 019762 - 019759 - 019832 - 019741 - 019739 - 019844 - 019744 - 019793 - 019839 - 019743 - 019841 - 019758 - 019831 - 019846 - 019840 - 019845 - 019767 - 019829 - 019848 - 019760 - 019849 - 019764 - 019847 - 019742 - 019850 - 019837 - 019768 - 019757 - 019763 - 019842 - 019834 - 019833 - 019766 - 019843 - 019835
37  | IMAGEM      | FONTE DISTRIBUIDOR HDMI fx-hsp0104d          | 012728 - 012730 - 012727 - 012731 - 012724 - 012726 - 012780 - 012723 - 012729 - 012725 - 012722 - 012781 - 012791 - 012788 - 012797 - 012785 - 012796 - 012790 - 012782 - 012795 - 012789 - 012794 - 012793 - 012786 - 012787 - 012784 - 012792 - 012783 - 012803 - 012800 - 012798 - 012802 - 012801 - 012799 - 012823 - 012824 - 012825
11  | ENERGIA     | FONTE livepro                                | 019755 - 019712 - 019720 - 019753 - 019715 - 019710 - 019745 - 019751 - 019749 - 019747 - 019719
5   | COMUNICACAO | FONTE CUE LIGHT                              | 018267 - 019068 - 019776 - 017072 - 019780
8   | COMUNICACAO | PASSADOR CUE LIGHT LASER                     | 019779 - 017957 - 019777 - 017954 - 016111 - 012649 - 018269 - 017955
3   | IMAGEM      | CUE LIGHT RECEPTOR                           | 018268 - 016110 - 017953
2   | IMAGEM      | CUE LIGTH RECEPTOR MINI                      | 019756 - 019778
1   | IMAGEM      | CUE LIGHT RECEPTOR MICRO                     | 012648
10  | IMAGEM      | LIVEPRO L1                                   | 019718 - 019748 - 019709 - 019711 - 019752 - 019754 - 019716 - 019713 - 019750 - 019746
